Theta_now,V_trans,Lmot_RPM,Rmot_RPM,Output_lmot,Output_rmot,DN_Lmot,DN_Rmot
-2.33,0.00,0.00,0.00,-37.00,-37.00,2,0
-2.36,0.00,0.00,0.00,-35.00,-35.00,2,0
-2.32,0.00,0.00,0.00,-37.00,-37.00,2,1
-2.35,0.00,0.00,0.00,-33.00,-33.00,2,1
-2.39,0.00,0.00,0.00,-33.00,-33.00,2,1
-2.46,0.00,0.00,0.00,0.00,0.00,2,1
-2.51,0.00,0.00,0.00,0.00,0.00,2,1
-2.55,0.00,0.00,0.00,0.00,0.00,2,1
-2.58,0.00,0.00,0.00,0.00,0.00,2,1
-2.62,0.00,0.00,0.00,0.00,0.00,2,1
-2.66,0.00,0.00,0.00,0.00,0.00,2,1
-2.72,0.00,0.00,0.00,0.00,0.00,2,1
-2.76,0.00,0.00,0.00,0.00,0.00,2,1
-2.81,0.00,0.00,0.00,40.00,40.00,2,1
-2.89,0.00,0.00,0.00,42.00,42.00,2,1
-2.92,0.00,0.00,0.00,44.00,44.00,1,1
-2.96,0.00,0.00,0.00,46.00,46.00,1,0
-2.72,0.00,0.00,0.00,37.00,37.00,0,0
-2.48,0.00,0.00,0.00,0.00,0.00,0,0
-2.26,0.00,0.00,0.00,0.00,0.00,-1,-1
-2.19,0.00,0.00,0.00,-41.00,-41.00,-1,-1
-2.22,0.00,0.00,0.00,-36.00,-36.00,-1,-1
-2.17,0.00,0.00,0.00,-38.00,-38.00,-1,-1
-2.08,0.00,0.00,0.00,-43.00,-43.00,-1,-1
-1.95,0.00,0.00,0.00,-51.00,-51.00,0,0
-2.12,0.00,0.00,0.00,-42.00,-42.00,1,0
-2.45,0.00,0.00,0.00,0.00,0.00,1,1
-2.60,0.00,0.00,0.00,0.00,0.00,2,1
-2.65,0.00,0.00,0.00,0.00,0.00,3,2
-2.55,0.00,0.00,0.00,0.00,0.00,3,2
-2.50,0.00,0.00,0.00,0.00,0.00,3,2
-2.43,0.00,0.00,0.00,-37.00,-37.00,3,2
-2.48,0.00,0.00,0.00,0.00,0.00,3,3
-2.52,0.00,0.00,0.00,0.00,0.00,3,3
-2.61,0.00,0.00,0.00,0.00,0.00,3,3
-2.66,0.00,0.00,0.00,0.00,0.00,3,3
-2.75,0.00,0.00,0.00,0.00,0.00,3,3
-2.87,0.00,0.00,0.00,41.00,41.00,3,3
-2.98,0.00,0.00,0.00,45.00,45.00,3,3
-3.12,0.00,0.00,0.00,51.00,51.00,3,2
-3.31,0.00,0.00,0.00,59.00,59.00,2,2
-3.29,0.00,0.00,0.00,56.00,56.00,1,1
-2.86,0.00,0.00,0.00,-32.00,-32.00,0,0
-2.66,0.00,0.00,0.00,0.00,0.00,0,0
-2.68,0.00,0.00,0.00,37.00,37.00,-1,-1
-2.73,0.00,0.00,0.00,41.00,41.00,-1,-1
-2.51,0.00,0.00,0.00,0.00,0.00,-1,-1
-2.52,0.00,0.00,0.00,0.00,0.00,-1,-1
-2.69,0.00,0.00,0.00,43.00,43.00,-1,-1
-2.61,0.00,0.00,0.00,0.00,0.00,-1,-1
-2.60,0.00,0.00,0.00,0.00,0.00,-1,-1
-2.57,0.00,0.00,0.00,0.00,0.00,-1,-1
-2.51,0.00,0.00,0.00,0.00,0.00,-1,-1
-2.46,0.00,0.00,0.00,0.00,0.00,-1,-1
-2.40,0.00,0.00,0.00,0.00,0.00,-1,-1
-2.34,0.00,0.00,0.00,0.00,0.00,-1,-1
-2.29,0.00,0.00,0.00,0.00,0.00,-1,-1
-2.24,0.00,0.00,0.00,0.00,0.00,-1,-1
-2.19,0.00,0.00,0.00,-37.00,-37.00,-1,-1
-2.19,0.00,0.00,0.00,-36.00,-36.00,-1,-1
-2.22,0.00,0.00,0.00,-34.00,-34.00,-1,-1
-2.26,0.00,0.00,0.00,0.00,0.00,0,-1
-2.32,0.00,0.00,0.00,0.00,0.00,0,-1
-2.42,0.00,0.00,0.00,0.00,0.00,0,-1
-2.40,0.00,0.00,0.00,0.00,0.00,0,0
-2.46,0.00,0.00,0.00,0.00,0.00,0,0
-2.49,0.00,0.00,0.00,0.00,0.00,0,0
-2.48,0.00,0.00,0.00,0.00,0.00,0,0
-2.49,0.00,0.00,0.00,0.00,0.00,0,0
-2.49,0.00,0.00,0.00,0.00,0.00,0,0
-2.47,0.00,0.00,0.00,0.00,0.00,0,0
-2.45,0.00,0.00,0.00,0.00,0.00,0,0
-2.42,0.00,0.00,0.00,0.00,0.00,0,0
-2.37,0.00,0.00,0.00,0.00,0.00,0,0
-2.31,0.00,0.00,0.00,0.00,0.00,0,0
-2.26,0.00,0.00,0.00,-37.00,-37.00,0,0
-2.17,0.00,0.00,0.00,-40.00,-40.00,0,0
-2.16,0.00,0.00,0.00,-41.00,-41.00,0,0
-2.14,0.00,0.00,0.00,-43.00,-43.00,1,0
-2.09,0.00,0.00,0.00,-45.00,-45.00,1,1
-2.69,0.00,0.00,0.00,0.00,0.00,2,1
-2.87,0.00,0.00,0.00,42.00,42.00,3,2
-2.78,0.00,0.00,0.00,0.00,0.00,3,2
-2.84,0.00,0.00,0.00,42.00,42.00,3,2
-2.84,0.00,0.00,0.00,38.00,38.00,3,2
-2.80,0.00,0.00,0.00,0.00,0.00,2,1
-2.82,0.00,0.00,0.00,38.00,38.00,2,1
-2.77,0.00,0.00,0.00,0.00,0.00,1,1
-2.80,0.00,0.00,0.00,38.00,38.00,1,1
-2.77,0.00,0.00,0.00,0.00,0.00,1,1
-2.85,0.00,0.00,0.00,41.00,41.00,1,1
-2.80,0.00,0.00,0.00,37.00,37.00,1,1
-2.77,0.00,0.00,0.00,0.00,0.00,1,1
-2.82,0.00,0.00,0.00,40.00,40.00,1,1
-2.83,0.00,0.00,0.00,39.00,39.00,1,1
-2.83,0.00,0.00,0.00,39.00,39.00,1,1
-2.82,0.00,0.00,0.00,39.00,39.00,1,1
-2.82,0.00,0.00,0.00,39.00,39.00,1,1
-2.86,0.00,0.00,0.00,40.00,40.00,1,1
-2.88,0.00,0.00,0.00,41.00,41.00,0,1
-2.90,0.00,0.00,0.00,42.00,42.00,0,1
-2.90,0.00,0.00,0.00,41.00,41.00,0,1
-2.92,0.00,0.00,0.00,42.00,42.00,0,1
-2.88,0.00,0.00,0.00,40.00,40.00,0,1
-2.85,0.00,0.00,0.00,40.00,40.00,0,1
-2.80,0.00,0.00,0.00,38.00,38.00,0,1
-2.77,0.00,0.00,0.00,37.00,37.00,0,1
-2.71,0.00,0.00,0.00,0.00,0.00,0,1
-2.67,0.00,0.00,0.00,0.00,0.00,0,1
-2.63,0.00,0.00,0.00,0.00,0.00,0,1
-2.58,0.00,0.00,0.00,0.00,0.00,0,1
-2.54,0.00,0.00,0.00,0.00,0.00,0,1
-2.50,0.00,0.00,0.00,0.00,0.00,0,1
-2.46,0.00,0.00,0.00,0.00,0.00,0,1
-2.42,0.00,0.00,0.00,0.00,0.00,0,1
-2.39,0.00,0.00,0.00,0.00,0.00,0,1
-2.35,0.00,0.00,0.00,0.00,0.00,0,1
-2.32,0.00,0.00,0.00,-37.00,-37.00,0,1
-2.32,0.00,0.00,0.00,-36.00,-36.00,0,1
-2.34,0.00,0.00,0.00,-37.00,-37.00,1,2
-2.27,0.00,0.00,0.00,-39.00,-39.00,1,2
-2.26,0.00,0.00,0.00,-40.00,-40.00,2,3
-2.69,0.00,0.00,0.00,0.00,0.00,3,3
-2.76,0.00,0.00,0.00,0.00,0.00,3,3
-2.73,0.00,0.00,0.00,0.00,0.00,4,3
-2.72,0.00,0.00,0.00,0.00,0.00,4,3
-2.71,0.00,0.00,0.00,0.00,0.00,4,3
-2.75,0.00,0.00,0.00,0.00,0.00,3,3
-2.76,0.00,0.00,0.00,0.00,0.00,3,3
-2.76,0.00,0.00,0.00,0.00,0.00,3,3
-2.77,0.00,0.00,0.00,0.00,0.00,3,3
-2.79,0.00,0.00,0.00,0.00,0.00,3,3
-2.81,0.00,0.00,0.00,0.00,0.00,3,3
-2.81,0.00,0.00,0.00,0.00,0.00,3,3
-2.81,0.00,0.00,0.00,0.00,0.00,3,3
-2.81,0.00,0.00,0.00,0.00,0.00,3,3
-2.80,0.00,0.00,0.00,0.00,0.00,3,3
-2.80,0.00,0.00,0.00,0.00,0.00,3,3
-2.78,0.00,0.00,0.00,0.00,0.00,3,3
-2.76,0.00,0.00,0.00,0.00,0.00,3,3
-2.75,0.00,0.00,0.00,0.00,0.00,3,3
-2.75,0.00,0.00,0.00,0.00,0.00,3,3
-2.75,0.00,0.00,0.00,0.00,0.00,3,3
-2.76,0.00,0.00,0.00,0.00,0.00,3,3
-2.75,0.00,0.00,0.00,0.00,0.00,3,3
-2.76,0.00,0.00,0.00,0.00,0.00,3,3
-2.77,0.00,0.00,0.00,0.00,0.00,3,3
-2.78,0.00,0.00,0.00,0.00,0.00,3,3
-2.77,0.00,0.00,0.00,0.00,0.00,3,3
-2.77,0.00,0.00,0.00,0.00,0.00,3,3
-2.77,0.00,0.00,0.00,0.00,0.00,3,3
-2.78,0.00,0.00,0.00,0.00,0.00,3,3
-2.77,0.00,0.00,0.00,0.00,0.00,3,3
-2.78,0.00,0.00,0.00,0.00,0.00,3,3
-2.78,0.00,0.00,0.00,0.00,0.00,3,3
-2.78,0.00,0.00,0.00,0.00,0.00,3,3
-2.80,0.00,0.00,0.00,0.00,0.00,3,3
-2.82,0.00,0.00,0.00,0.00,0.00,3,3
-2.84,0.00,0.00,0.00,0.00,0.00,3,3
-2.85,0.00,0.00,0.00,0.00,0.00,3,3
-2.86,0.00,0.00,0.00,0.00,0.00,3,3
-2.87,0.00,0.00,0.00,0.00,0.00,3,3
-2.88,0.00,0.00,0.00,0.00,0.00,3,3
-2.89,0.00,0.00,0.00,0.00,0.00,3,3
-2.90,0.00,0.00,0.00,37.00,37.00,3,3
-2.93,0.00,0.00,0.00,38.00,38.00,3,3
-2.96,0.00,0.00,0.00,40.00,40.00,3,3
-2.86,0.00,0.00,0.00,35.00,35.00,2,2
-2.68,0.00,0.00,0.00,0.00,0.00,2,2
-2.45,0.00,0.00,0.00,0.00,0.00,1,2
-2.47,0.00,0.00,0.00,0.00,0.00,1,2
-2.52,0.00,0.00,0.00,0.00,0.00,1,2
-2.54,0.00,0.00,0.00,0.00,0.00,1,2
-2.53,0.00,0.00,0.00,0.00,0.00,1,2
-2.50,0.00,0.00,0.00,0.00,0.00,1,2
-2.47,0.00,0.00,0.00,0.00,0.00,1,2
-2.43,0.00,0.00,0.00,0.00,0.00,1,2
-2.40,0.00,0.00,0.00,-36.00,-36.00,1,2
-2.37,0.00,0.00,0.00,-36.00,-36.00,2,2
-2.33,0.00,0.00,0.00,-38.00,-38.00,2,2
-2.35,0.00,0.00,0.00,-37.00,-37.00,3,3
-2.79,0.00,0.00,0.00,0.00,0.00,3,3
-3.05,0.00,0.00,0.00,51.00,51.00,4,4
-3.19,0.00,0.00,0.00,53.00,53.00,3,4
-3.21,0.00,0.00,0.00,51.00,51.00,3,3
-2.98,0.00,0.00,0.00,36.00,36.00,2,2
-2.61,0.00,0.00,0.00,0.00,0.00,1,1
-2.39,0.00,0.00,0.00,0.00,0.00,0,1
-2.32,0.00,0.00,0.00,-38.00,-38.00,0,1
-2.26,0.00,0.00,0.00,-38.00,-38.00,0,1
-2.27,0.00,0.00,0.00,-36.00,-36.00,0,1
-2.32,0.00,0.00,0.00,-36.00,-36.00,0,2
-2.53,0.00,0.00,0.00,0.00,0.00,1,2
-2.66,0.00,0.00,0.00,0.00,0.00,2,2
-2.72,0.00,0.00,0.00,0.00,0.00,2,3
-2.72,0.00,0.00,0.00,0.00,0.00,3,3
-2.65,0.00,0.00,0.00,0.00,0.00,3,3
-2.57,0.00,0.00,0.00,0.00,0.00,3,3
-2.54,0.00,0.00,0.00,0.00,0.00,3,3
-2.50,0.00,0.00,0.00,0.00,0.00,3,3
-2.48,0.00,0.00,0.00,0.00,0.00,3,3
-2.49,0.00,0.00,0.00,0.00,0.00,3,3
-2.49,0.00,0.00,0.00,0.00,0.00,3,3
-2.51,0.00,0.00,0.00,0.00,0.00,3,3
-2.54,0.00,0.00,0.00,0.00,0.00,3,3
-2.58,0.00,0.00,0.00,0.00,0.00,3,3
-2.63,0.00,0.00,0.00,0.00,0.00,3,3
-2.69,0.00,0.00,0.00,0.00,0.00,3,3
-2.75,0.00,0.00,0.00,0.00,0.00,3,3
-2.82,0.00,0.00,0.00,0.00,0.00,3,3
-2.88,0.00,0.00,0.00,40.00,40.00,3,3
-2.91,0.00,0.00,0.00,41.00,41.00,3,2
-3.02,0.00,0.00,0.00,45.00,45.00,3,2
-3.11,0.00,0.00,0.00,49.00,49.00,2,2
-2.96,0.00,0.00,0.00,37.00,37.00,1,1
-2.55,0.00,0.00,0.00,0.00,0.00,0,1
-2.40,0.00,0.00,0.00,0.00,0.00,0,0
-2.40,0.00,0.00,0.00,0.00,0.00,0,0
-2.45,0.00,0.00,0.00,0.00,0.00,0,0
-2.41,0.00,0.00,0.00,0.00,0.00,0,0
-2.36,0.00,0.00,0.00,0.00,0.00,0,0
-2.27,0.00,0.00,0.00,-39.00,-39.00,0,0
-2.11,0.00,0.00,0.00,-46.00,-46.00,0,0
-1.93,0.00,0.00,0.00,-53.00,-53.00,0,1
-1.76,0.00,0.00,0.00,-61.00,-61.00,1,2
-1.77,0.00,0.12,0.00,-49.00,-49.00,2,3
-2.14,0.01,0.20,0.00,-30.00,-30.00,3,4
-2.38,0.01,0.30,0.00,-30.00,-30.00,5,5
-2.79,0.02,0.36,0.11,0.00,0.00,6,6
-3.22,0.02,0.40,0.18,55.00,55.00,6,7
-3.44,0.02,0.41,0.21,54.00,54.00,7,7
-3.50,0.01,0.32,0.14,55.00,55.00,6,6
-3.44,0.01,0.22,0.00,50.00,50.00,5,6
-2.95,0.00,0.00,0.00,0.00,0.00,4,5
-2.58,0.00,0.00,0.00,0.00,0.00,3,4
-2.40,0.00,0.00,0.00,-45.00,-45.00,2,4
-2.53,0.00,0.00,0.00,0.00,0.00,2,4
-2.69,0.00,0.00,0.00,0.00,0.00,3,4
-2.96,0.00,0.00,0.00,47.00,47.00,3,4
-3.19,0.00,0.00,0.00,56.00,56.00,3,4
-3.44,0.00,0.00,0.00,65.00,65.00,2,3
-2.93,-0.00,0.00,-0.12,37.00,37.00,1,2
-2.62,-0.01,0.00,-0.20,0.00,0.00,1,1
-2.49,-0.01,0.00,-0.25,0.00,0.00,1,0
-2.50,-0.01,0.00,-0.28,0.00,0.00,1,0
-2.57,-0.01,0.00,-0.27,0.00,0.00,1,0
-2.66,-0.01,0.00,-0.24,0.00,0.00,1,0
-2.67,-0.01,0.00,-0.22,0.00,0.00,1,0
-2.52,-0.01,0.00,-0.20,0.00,0.00,1,0
-2.47,-0.01,0.00,-0.18,0.00,0.00,1,0
-2.39,-0.01,0.00,-0.16,0.00,0.00,1,0
-2.27,-0.00,0.00,-0.14,-39.00,-39.00,1,0
-2.16,-0.00,0.00,-0.13,-44.00,-44.00,1,0
-2.02,0.00,0.00,0.00,-50.00,-50.00,2,0
-2.00,0.00,0.00,0.00,-51.00,-51.00,3,0
-2.50,0.00,0.00,0.00,0.00,0.00,4,1
-2.75,0.00,0.00,0.00,0.00,0.00,4,2
-2.93,0.00,0.00,0.00,45.00,45.00,4,3
-2.89,0.00,0.00,0.00,0.00,0.00,4,4
-2.87,0.00,0.00,0.00,0.00,0.00,3,3
-2.78,0.00,0.00,0.00,0.00,0.00,3,3
-2.72,0.00,0.00,0.00,0.00,0.00,3,3
-2.75,0.00,0.00,0.00,0.00,0.00,3,3
-2.83,0.00,0.00,0.00,0.00,0.00,3,3
-2.92,0.00,0.00,0.00,41.00,41.00,3,3
-3.02,0.00,0.00,0.00,45.00,45.00,3,3
-3.11,0.00,0.00,0.00,49.00,49.00,3,3
-3.14,0.00,0.00,0.00,47.00,47.00,2,2
-2.94,0.00,0.00,0.00,32.00,32.00,1,2
-2.88,0.00,0.00,0.00,35.00,35.00,1,1
-2.66,0.00,0.00,0.00,0.00,0.00,0,0
-2.52,0.00,0.00,0.00,0.00,0.00,0,0
-2.53,0.00,0.00,0.00,0.00,0.00,0,0
-2.52,0.00,0.00,0.00,0.00,0.00,0,0
-2.48,0.00,0.00,0.00,0.00,0.00,0,0
-2.40,0.00,0.00,0.00,0.00,0.00,0,0
-2.29,0.00,0.00,0.00,-40.00,-40.00,0,0
-2.21,0.00,0.00,0.00,-43.00,-43.00,0,0
-2.03,0.00,0.00,0.00,-50.00,-50.00,0,0
-1.83,0.00,0.00,0.00,-59.00,-59.00,1,1
-1.94,0.00,0.00,0.00,-56.00,-56.00,2,2
-2.35,0.00,0.00,0.00,37.00,37.00,3,3
-2.61,0.00,0.00,0.00,0.00,0.00,4,3
-2.76,0.00,0.00,0.00,0.00,0.00,4,4
-2.80,0.00,0.00,0.00,0.00,0.00,4,4
-2.73,0.00,0.00,0.00,0.00,0.00,4,4
-2.62,0.00,0.00,0.00,0.00,0.00,4,4
-2.56,0.00,0.00,0.00,0.00,0.00,4,4
-2.53,0.00,0.00,0.00,0.00,0.00,4,4
-2.53,0.00,0.00,0.00,0.00,0.00,4,4
-2.58,0.00,0.00,0.00,0.00,0.00,4,4
-2.68,0.00,0.00,0.00,0.00,0.00,4,4
-2.82,0.00,0.00,0.00,0.00,0.00,4,4
-2.95,0.00,0.00,0.00,44.00,44.00,4,4
-3.14,0.00,0.00,0.00,50.00,50.00,4,4
-3.15,0.00,0.00,0.00,48.00,48.00,3,3
-3.21,0.00,0.00,0.00,52.00,52.00,2,3
-2.97,0.00,0.00,0.00,34.00,34.00,1,2
-2.81,0.00,0.00,0.00,-30.00,-30.00,1,1
-2.74,0.00,0.00,0.00,0.00,0.00,0,1
-2.86,0.00,0.00,0.00,43.00,43.00,0,1
-2.70,0.00,0.00,0.00,0.00,0.00,0,1
-2.63,0.00,0.00,0.00,0.00,0.00,0,0
-2.68,0.00,0.00,0.00,0.00,0.00,0,0
-2.68,0.00,0.00,0.00,0.00,0.00,0,0
-2.59,0.00,0.00,0.00,0.00,0.00,0,0
-2.45,0.00,0.00,0.00,0.00,0.00,0,0
-2.31,0.00,0.00,0.00,-41.00,-41.00,0,0
-2.15,0.00,0.00,0.00,-47.00,-47.00,0,1
-2.01,0.00,0.00,0.00,-52.00,-52.00,0,1
-1.79,0.00,0.00,0.00,-62.00,-62.00,1,2
-1.88,0.00,0.12,0.00,-48.00,-48.00,2,3
-2.23,0.01,0.20,0.00,30.00,30.00,3,4
-2.45,0.01,0.28,0.00,31.00,31.00,4,5
-2.60,0.01,0.27,0.00,30.00,30.00,4,5
-2.51,0.01,0.25,0.00,-37.00,-37.00,4,5
-2.40,0.01,0.22,0.00,-46.00,-46.00,4,5
-2.33,0.01,0.25,0.00,-47.00,-47.00,5,5
-2.25,0.01,0.29,0.00,-51.00,-51.00,6,6
-2.69,0.01,0.29,0.00,40.00,40.00,6,7
-3.09,0.01,0.28,0.00,0.00,0.00,6,7
-3.44,0.01,0.25,0.00,63.00,63.00,6,7
-3.71,0.01,0.21,0.00,68.00,68.00,6,7
-3.50,0.00,0.11,0.00,47.00,47.00,5,6
-3.35,0.00,0.00,0.00,47.00,47.00,4,5
-3.17,0.00,0.00,0.00,38.00,38.00,3,4
-3.06,-0.00,-0.14,0.00,44.00,44.00,1,3
-2.94,-0.01,-0.22,-0.12,39.00,39.00,0,2
-2.79,-0.02,-0.32,-0.20,37.00,37.00,0,1
-2.70,-0.02,-0.38,-0.28,38.00,38.00,-1,0
-2.66,-0.03,-0.42,-0.37,39.00,39.00,-2,-1
-2.47,-0.03,-0.42,-0.40,33.00,33.00,-2,-1
-2.33,-0.03,-0.43,-0.46,0.00,0.00,-3,-2
-2.32,-0.03,-0.43,-0.48,33.00,33.00,-3,-3
-2.23,-0.03,-0.39,-0.46,0.00,0.00,-3,-3
-2.21,-0.03,-0.35,-0.46,0.00,0.00,-3,-4
-2.24,-0.02,-0.32,-0.41,0.00,0.00,-3,-4
-2.15,-0.02,-0.28,-0.37,0.00,0.00,-3,-4
-2.02,-0.02,-0.26,-0.34,0.00,0.00,-3,-4
-1.83,-0.02,-0.23,-0.30,-48.00,-48.00,-3,-4
-1.59,-0.01,-0.18,-0.25,-56.00,-56.00,-3,-3
-1.27,-0.01,0.00,-0.17,-74.00,-74.00,-2,-3
-1.04,0.00,0.00,0.00,-86.00,-86.00,-1,-1
-1.92,0.01,0.19,0.14,-30.00,-30.00,0,0
-2.36,0.02,0.34,0.27,33.00,33.00,2,1
-2.58,0.03,0.47,0.41,-33.00,-33.00,4,2
-2.44,0.03,0.57,0.46,-52.00,-52.00,5,4
-2.33,0.04,0.60,0.54,-59.00,-59.00,6,5
-1.93,0.04,0.64,0.58,-82.00,-82.00,7,6
-1.58,0.04,0.67,0.66,-97.00,-97.00,8,7
-1.27,0.05,0.75,0.74,-112.00,-112.00,10,9
-0.88,0.06,0.86,0.88,-130.00,-130.00,12,11
-0.71,0.07,1.01,1.05,-142.00,-142.00,14,14
-0.54,0.08,1.20,1.31,-153.00,-153.00,18,18
-0.46,0.10,1.46,1.58,-170.00,-170.00,22,22
-0.59,0.12,1.84,1.94,-176.00,-176.00,27,28
-0.76,0.15,2.24,2.38,-187.00,-187.00,34,35
-1.01,0.18,2.74,2.90,-171.00,-171.00,41,43
-1.39,0.22,3.33,3.51,-206.00,-206.00,51,53
-1.79,0.26,3.92,4.11,-210.00,-210.00,61,63
-2.53,0.31,4.65,4.79,-209.00,-209.00,73,75
-3.55,0.35,5.35,5.50,-201.00,-201.00,85,87
-4.79,0.41,6.19,6.31,-152.00,-152.00,100,102
-5.11,0.46,6.95,7.08,-221.00,-221.00,114,117
-6.53,0.51,7.80,7.90,-196.00,-196.00,131,133
-8.36,0.56,8.59,8.65,-157.00,-157.00,148,149
-10.03,0.62,9.47,9.50,-128.00,-128.00,166,167
-12.86,0.67,10.24,10.24,-59.00,-59.00,184,185
-15.67,0.72,11.04,11.00,70.00,70.00,203,204
-18.47,0.75,11.61,11.56,172.00,172.00,221,221
-19.66,0.78,11.97,11.93,183.00,183.00,236,237
-20.00,0.77,11.90,11.87,127.00,127.00,248,249
-18.32,0.75,11.61,11.56,-46.00,-46.00,257,257
-16.62,0.73,11.31,11.19,-114.00,-114.00,266,265
-15.03,0.71,11.03,10.88,-159.00,-159.00,275,274
-14.63,0.70,10.93,10.74,-142.00,-142.00,285,284
-15.03,0.70,10.81,10.67,-90.00,-90.00,296,295
-16.73,0.70,10.94,10.69,38.00,38.00,309,306
-18.17,0.70,10.99,10.67,102.00,102.00,321,317
-19.90,0.70,10.96,10.56,170.00,170.00,332,327
-19.15,0.68,10.72,10.21,86.00,86.00,340,334
-18.01,0.65,10.41,9.74,-52.00,-52.00,348,339
-16.82,0.63,9.97,9.27,-84.00,-84.00,354,345
-16.22,0.60,9.68,8.91,-96.00,-96.00,362,351
-15.40,0.59,9.45,8.64,-110.00,-110.00,370,357
-15.95,0.58,9.27,8.46,-54.00,-54.00,378,365
-17.44,0.57,9.13,8.35,0.00,0.00,386,372
-18.82,0.56,9.07,8.26,128.00,128.00,395,380
-19.55,0.55,8.87,8.00,147.00,147.00,403,386
-19.79,0.53,8.58,7.62,109.00,109.00,408,390
-18.84,0.49,8.10,7.12,47.00,47.00,412,393
-17.73,0.46,7.55,6.53,-56.00,-56.00,415,394
-16.87,0.42,7.06,6.00,-74.00,-74.00,417,395
-16.51,0.40,6.64,5.56,-72.00,-72.00,421,397
-16.57,0.38,6.38,5.24,-54.00,-54.00,425,400
-17.22,0.36,6.17,5.03,0.00,0.00,429,403
-18.36,0.35,5.96,4.81,110.00,110.00,434,406
-19.70,0.33,5.67,4.52,169.00,169.00,437,407
-19.22,0.31,5.34,4.09,108.00,108.00,439,407
-18.98,0.27,4.83,3.61,92.00,92.00,439,407
-18.29,0.24,4.32,3.11,72.00,72.00,438,405
-17.95,0.21,3.80,2.61,77.00,77.00,437,403
