Theta_now,V_trans,Lmot_RPM,Rmot_RPM,Output_lmot,Output_rmot,DN_Lmot,DN_Rmot
-2.45,0.00,0.00,0.00,0.00,0.00,0,0
-2.45,0.00,0.00,0.00,0.00,0.00,0,0
-2.46,0.00,0.00,0.00,0.00,0.00,0,0
-2.46,0.00,0.00,0.00,0.00,0.00,0,0
-2.45,0.00,0.00,0.00,0.00,0.00,0,0
-2.45,0.00,0.00,0.00,0.00,0.00,0,0
-2.44,0.00,0.00,0.00,0.00,0.00,0,0
-2.44,0.00,0.00,0.00,0.00,0.00,0,0
-2.42,0.00,0.00,0.00,0.00,0.00,0,0
-2.41,0.00,0.00,0.00,0.00,0.00,0,0
-2.40,0.00,0.00,0.00,0.00,0.00,0,0
-2.38,0.00,0.00,0.00,0.00,0.00,0,0
-2.37,0.00,0.00,0.00,0.00,0.00,0,0
-2.36,0.00,0.00,0.00,0.00,0.00,0,0
-2.35,0.00,0.00,0.00,0.00,0.00,0,0
-2.34,0.00,0.00,0.00,0.00,0.00,0,0
-2.33,0.00,0.00,0.00,0.00,0.00,0,0
-2.33,0.00,0.00,0.00,0.00,0.00,0,0
-2.31,0.00,0.00,0.00,0.00,0.00,0,0
-2.30,0.00,0.00,0.00,0.00,0.00,0,0
-2.30,0.00,0.00,0.00,-35.00,-35.00,0,0
-2.32,0.00,0.00,0.00,0.00,0.00,0,0
-2.27,0.00,0.00,0.00,-36.00,-36.00,0,0
-2.35,0.00,0.00,0.00,0.00,0.00,0,0
-2.41,0.00,0.00,0.00,0.00,0.00,0,0
-2.33,0.00,0.00,0.00,0.00,0.00,0,0
-2.37,0.00,0.00,0.00,0.00,0.00,0,0
-2.36,0.00,0.00,0.00,0.00,0.00,0,0
-2.35,0.00,0.00,0.00,0.00,0.00,0,0
-2.36,0.00,0.00,0.00,0.00,0.00,0,0
-2.34,0.00,0.00,0.00,0.00,0.00,0,0
-2.33,0.00,0.00,0.00,0.00,0.00,0,0
-2.30,0.00,0.00,0.00,0.00,0.00,0,0
-2.28,0.00,0.00,0.00,-36.00,-36.00,0,0
-2.28,0.00,0.00,0.00,-36.00,-36.00,0,0
-2.29,0.00,0.00,0.00,-36.00,-36.00,1,0
-2.24,0.00,0.00,0.00,-37.00,-37.00,1,0
-2.22,0.00,0.00,0.00,-37.00,-37.00,2,1
-2.52,0.00,0.00,0.00,0.00,0.00,3,1
-2.64,0.00,0.00,0.00,0.00,0.00,4,2
-2.62,0.00,0.00,0.00,0.00,0.00,4,2
-2.59,0.00,0.00,0.00,0.00,0.00,4,2
-2.54,0.00,0.00,0.00,0.00,0.00,4,2
-2.50,0.00,0.00,0.00,0.00,0.00,4,2
-2.46,0.00,0.00,0.00,0.00,0.00,4,2
-2.44,0.00,0.00,0.00,0.00,0.00,3,2
-2.44,0.00,0.00,0.00,0.00,0.00,3,2
-2.43,0.00,0.00,0.00,0.00,0.00,3,2
-2.41,0.00,0.00,0.00,0.00,0.00,3,2
-2.39,0.00,0.00,0.00,0.00,0.00,3,2
-2.36,0.00,0.00,0.00,0.00,0.00,0,0
-2.34,0.00,0.00,0.00,0.00,0.00,0,0
-2.32,0.00,0.00,0.00,0.00,0.00,0,0
-2.29,0.00,0.00,0.00,-36.00,-36.00,0,0
-2.28,0.00,0.00,0.00,-37.00,-37.00,0,0
-2.25,0.00,0.00,0.00,-38.00,-38.00,0,0
-2.24,0.00,0.00,0.00,-38.00,-38.00,0,0
-2.26,0.00,0.00,0.00,-38.00,-38.00,1,0
-2.39,0.00,0.00,0.00,0.00,0.00,1,0
-2.32,0.00,0.00,0.00,-36.00,-36.00,2,0
-2.47,0.00,0.00,0.00,0.00,0.00,2,0
-2.41,0.00,0.00,0.00,0.00,0.00,2,0
-2.40,0.00,0.00,0.00,0.00,0.00,2,0
