Theta_now,V_trans,Lmot_RPM,Rmot_RPM,Output_lmot,Output_rmot,DN_Lmot,DN_Rmot
-2.46,0.00,0.00,0.00,0.00,0.00,0,-1
-2.40,0.00,0.00,0.00,0.00,0.00,0,-1
-2.38,0.00,0.00,0.00,0.00,0.00,0,-1
-2.40,0.00,0.00,0.00,0.00,0.00,0,-1
-2.51,0.00,0.00,0.00,0.00,0.00,0,-1
-2.56,0.00,0.00,0.00,0.00,0.00,0,-1
-2.65,0.00,0.00,0.00,40.00,40.00,0,-1
-2.70,0.00,0.00,0.00,42.00,42.00,-1,-1
-2.80,0.00,0.00,0.00,46.00,46.00,-1,-2
-2.77,0.00,0.00,0.00,45.00,45.00,-2,-2
-2.30,-0.00,-0.13,0.00,0.00,0.00,-3,-3
-1.98,-0.01,-0.16,0.00,-51.00,-51.00,-4,-3
-1.78,-0.00,-0.14,0.00,-52.00,-52.00,-4,-4
-1.85,-0.00,-0.11,0.00,-45.00,-45.00,-3,-3
-2.31,0.00,0.00,0.00,0.00,0.00,-3,-3
-2.60,0.00,0.00,0.00,48.00,48.00,-2,-2
-2.82,0.00,0.00,0.00,52.00,52.00,-2,-3
-2.93,0.00,0.00,0.00,52.00,52.00,-2,-3
-2.55,0.00,0.00,0.00,-32.00,-32.00,-3,-4
-2.18,0.00,0.00,0.00,0.00,0.00,-3,-4
-1.98,0.00,0.00,0.00,-46.00,-46.00,-3,-4
-1.96,0.00,0.00,0.00,-43.00,-43.00,-3,-4
-2.02,0.00,0.00,0.00,-39.00,-39.00,-2,-3
-2.40,0.00,0.00,0.00,0.00,0.00,-2,-2
-2.54,0.00,0.00,0.00,0.00,0.00,-1,-2
-2.61,0.00,0.00,0.00,40.00,40.00,-1,-2
-2.45,0.00,0.00,0.00,0.00,0.00,-2,-2
-2.37,0.00,0.00,0.00,0.00,0.00,-2,-2
-2.28,0.00,0.00,0.00,0.00,0.00,-3,-2
-2.22,0.00,0.00,0.00,0.00,0.00,-3,-2
-2.19,0.00,0.00,0.00,0.00,0.00,-3,-2
-2.11,0.00,0.00,0.00,-41.00,-41.00,-3,-2
-1.86,0.00,0.00,0.00,-57.00,-57.00,-3,-2
-1.46,0.00,0.00,0.00,-79.00,-79.00,-2,-1
-1.76,0.00,0.00,0.00,-61.00,-61.00,-1,-1
-1.32,0.00,0.00,0.00,-88.00,-88.00,0,0
-1.18,0.00,0.14,0.00,-93.00,-93.00,0,0
-0.52,0.01,0.22,0.12,-120.00,-120.00,2,1
-0.04,0.02,0.37,0.27,-141.00,-141.00,4,3
0.11,0.03,0.57,0.46,-146.00,-146.00,6,5
0.16,0.05,0.85,0.75,-153.00,-153.00,10,9
-0.01,0.07,1.17,1.06,-153.00,-153.00,14,13
-0.08,0.10,1.58,1.48,-150.00,-150.00,20,19
-0.23,0.13,2.01,1.95,-179.00,-179.00,26,25
-0.79,0.16,2.48,2.42,-172.00,-172.00,33,32
-1.07,0.20,3.06,2.99,-181.00,-181.00,42,41
-1.97,0.23,3.64,3.59,-172.00,-172.00,52,51
-2.77,0.28,4.32,4.23,-161.00,-161.00,63,62
-3.82,0.32,4.96,4.86,-157.00,-157.00,74,73
-5.05,0.37,5.70,5.56,-150.00,-150.00,87,85
-6.07,0.41,6.34,6.17,-146.00,-146.00,100,98
-7.47,0.45,7.09,6.88,-127.00,-127.00,115,112
-8.57,0.49,7.71,7.50,-120.00,-120.00,129,126
-10.09,0.54,8.44,8.18,-89.00,-89.00,145,141
-11.65,0.58,9.02,8.69,-60.00,-60.00,160,155
-13.62,0.62,9.64,9.30,30.00,30.00,176,170
-15.70,0.64,10.11,9.73,78.00,78.00,191,184
-18.21,0.67,10.47,10.06,138.00,138.00,205,198
-18.27,0.68,10.63,10.19,82.00,82.00,218,210
-17.85,0.67,10.62,10.15,35.00,35.00,228,220
-17.43,0.67,10.51,10.01,0.00,0.00,238,229
-16.86,0.65,10.34,9.80,-59.00,-59.00,247,237
-16.80,0.65,10.23,9.67,-54.00,-54.00,257,246
-16.93,0.64,10.14,9.54,-37.00,-37.00,267,255
-17.37,0.64,10.10,9.46,0.00,0.00,277,264
-18.09,0.63,10.01,9.35,75.00,75.00,287,273
-18.41,0.62,9.96,9.22,81.00,81.00,297,281
-18.51,0.61,9.78,8.97,69.00,69.00,305,288
-18.27,0.59,9.56,8.69,49.00,49.00,313,294
-18.19,0.57,9.25,8.32,45.00,45.00,320,299
-17.39,0.55,8.94,7.94,0.00,0.00,326,304
-17.05,0.53,8.64,7.55,-52.00,-52.00,332,308
-16.97,0.51,8.42,7.25,-44.00,-44.00,339,313
-17.43,0.49,8.23,6.98,0.00,0.00,346,318
-18.13,0.48,8.09,6.75,76.00,76.00,353,323
-18.47,0.47,7.90,6.51,83.00,83.00,359,327
-18.33,0.45,7.58,6.21,69.00,69.00,364,331
-18.20,0.43,7.25,5.88,52.00,52.00,369,334
-18.11,0.40,6.84,5.48,49.00,49.00,372,336
-18.01,0.37,6.44,5.10,44.00,44.00,375,337
-17.79,0.35,6.03,4.71,45.00,45.00,377,338
-17.67,0.32,5.62,4.33,50.00,50.00,379,339
-17.44,0.30,5.22,3.95,46.00,46.00,381,340
-17.40,0.27,4.82,3.55,54.00,54.00,382,340
-17.30,0.25,4.41,3.20,60.00,60.00,383,340
-17.25,0.22,3.99,2.88,67.00,67.00,383,340
-17.36,0.20,3.59,2.57,82.00,82.00,383,340
-17.47,0.18,3.19,2.28,93.00,93.00,382,339
-17.87,0.16,2.82,2.01,113.00,113.00,382,339
-17.88,0.13,2.40,1.71,117.00,117.00,380,338
-17.91,0.11,1.97,1.41,120.00,120.00,378,336
-17.79,0.08,1.50,1.06,112.00,112.00,375,334
-17.41,0.06,1.02,0.70,109.00,109.00,372,331
-17.50,0.03,0.58,0.37,118.00,118.00,368,328
-17.23,0.00,0.00,0.00,113.00,113.00,363,325
-16.80,-0.03,-0.48,-0.38,105.00,105.00,358,321
-16.20,-0.06,-1.00,-0.77,90.00,90.00,352,316
-15.91,-0.09,-1.47,-1.15,88.00,88.00,346,311
-15.62,-0.11,-1.99,-1.51,90.00,90.00,339,306
-15.35,-0.14,-2.38,-1.83,89.00,89.00,333,301
-15.05,-0.16,-2.79,-2.17,90.00,90.00,326,296
-14.78,-0.18,-3.15,-2.48,85.00,85.00,319,290
-14.63,-0.21,-3.53,-2.83,89.00,89.00,312,284
-15.07,-0.22,-3.82,-3.09,113.00,113.00,305,278
-15.36,-0.25,-4.15,-3.42,127.00,127.00,297,271
-15.29,-0.27,-4.46,-3.72,122.00,122.00,289,264
-14.79,-0.29,-4.84,-4.09,99.00,99.00,281,257
-14.44,-0.31,-5.21,-4.47,100.00,100.00,272,248
-14.46,-0.34,-5.55,-4.78,108.00,108.00,263,240
-14.12,-0.36,-5.90,-5.11,111.00,111.00,253,232
-13.94,-0.38,-6.21,-5.41,123.00,123.00,244,223
-13.18,-0.40,-6.59,-5.75,115.00,115.00,233,214
-12.51,-0.42,-6.88,-6.08,113.00,113.00,223,204
-11.82,-0.44,-7.24,-6.45,255.00,255.00,212,194
-10.45,-0.47,-7.66,-6.80,255.00,255.00,200,183
-7.68,-0.51,-8.32,-7.43,255.00,255.00,184,169
-3.67,-0.56,-9.03,-8.11,97.00,97.00,168,154
-0.12,-0.61,-9.91,-8.94,-85.00,-85.00,149,136
